Hidden,Layers,Learning Rate,Keep Probability,Epochs,Batch Size,Average Score
50,1,1.00E-05,0.9,65,50,0.50986154
10,2,1.00E-05,0.75,25,25,0.509617381
50,2,1.00E-05,0.75,45,50,0.50944051
50,3,1.00E-05,0.9,65,25,0.509110798
50,1,1.00E-05,0.5,65,25,0.509022363
10,2,0.0001,0.5,65,50,0.508931043
10,2,1.00E-05,0.9,25,100,0.508563843
50,1,1.00E-05,0.9,25,100,0.508186069
25,3,0.0001,0.9,25,100,0.508043803
10,2,0.0001,0.5,25,100,0.507612198
10,1,0.0001,0.75,45,100,0.506976807
50,2,0.0001,0.9,25,50,0.506684585
25,3,1.00E-05,0.9,65,50,0.50655866
50,2,1.00E-05,0.9,45,100,0.506357757
50,2,1.00E-05,0.5,65,50,0.505821375
25,3,1.00E-05,0.5,65,100,0.505770429
10,2,1.00E-05,0.75,65,100,0.505756971
10,1,1.00E-05,0.75,65,50,0.505161953
50,3,1.00E-05,0.5,25,100,0.504910103
25,2,1.00E-05,0.5,65,50,0.504818784
10,1,0.0001,0.75,65,100,0.504740922
10,2,1.00E-05,0.75,65,50,0.504665944
50,1,1.00E-05,0.5,45,100,0.50460154
10,2,1.00E-05,0.5,45,50,0.504499646
25,3,1.00E-05,0.9,65,25,0.504435242
10,1,0.0001,0.9,45,100,0.504030553
10,3,1.00E-05,0.75,45,25,0.503826766
10,3,0.0001,0.5,25,25,0.503687384
10,3,0.0001,0.9,45,50,0.503548001
10,1,0.0001,0.9,25,25,0.503534544
25,2,1.00E-05,0.75,25,100,0.503354789
25,3,1.00E-05,0.75,25,50,0.503054876
50,3,1.00E-05,0.5,45,25,0.503027961
25,1,0.0001,0.5,25,100,0.502963557
25,3,1.00E-05,0.5,25,50,0.502406027
25,1,1.00E-05,0.9,45,50,0.502331049
50,1,1.00E-05,0.5,45,25,0.500985289
10,2,1.00E-05,0.9,25,50,0.500880512
10,2,1.00E-05,0.5,25,100,0.500757471
10,2,1.00E-05,0.9,65,25,0.500717098
50,1,1.00E-05,0.75,45,100,0.500173026
10,2,1.00E-05,0.9,65,50,0.499856773
10,2,0.0001,0.5,25,50,0.499751996
50,2,1.00E-05,0.9,45,50,0.499738538
10,3,1.00E-05,0.9,65,25,0.499347306
25,1,1.00E-05,0.5,45,50,0.499306933
50,3,1.00E-05,0.9,45,50,0.499076232
10,3,1.00E-05,0.9,25,100,0.498786893
25,1,1.00E-05,0.75,25,100,0.498443724
10,2,1.00E-05,0.75,45,25,0.498409119
10,3,1.00E-05,0.75,45,50,0.498395661
10,3,1.00E-05,0.75,25,50,0.498382204
10,3,0.0001,0.75,45,100,0.49837932
10,1,0.0001,0.75,25,25,0.498328373
10,2,1.00E-05,0.5,65,25,0.497655493
50,3,1.00E-05,0.75,45,50,0.497250804
10,3,1.00E-05,0.75,25,25,0.497090274
50,1,1.00E-05,0.9,25,50,0.496985497
10,3,1.00E-05,0.5,65,50,0.496074224
10,1,1.00E-05,0.75,45,25,0.495789692
10,1,0.0001,0.9,45,50,0.495521501
25,1,1.00E-05,0.9,45,100,0.495371545
50,1,1.00E-05,0.9,45,50,0.494430474
50,2,1.00E-05,0.5,45,50,0.494291092
10,1,1.00E-05,0.5,45,25,0.492843438
50,3,1.00E-05,0.75,65,50,0.492336855
50,3,1.00E-05,0.9,25,100,0.491787016
25,1,1.00E-05,0.75,45,50,0.491114136
25,2,1.00E-05,0.5,65,100,0.490821914
10,1,1.00E-05,0.5,65,50,0.490671957
10,1,1.00E-05,0.5,25,100,0.490393193
25,3,1.00E-05,0.75,25,25,0.490149033
25,2,1.00E-05,0.5,45,100,0.4895271
50,1,1.00E-05,0.75,45,50,0.488704263
25,3,1.00E-05,0.9,25,50,0.488358211
10,2,1.00E-05,0.9,45,25,0.487953521
25,3,1.00E-05,0.5,65,50,0.487141259
50,2,1.00E-05,0.9,25,25,0.487079738
25,3,1.00E-05,0.5,45,100,0.486733686
25,3,1.00E-05,0.5,25,100,0.486452037
25,2,1.00E-05,0.9,45,100,0.485948338
50,3,1.00E-05,0.5,25,50,0.485798382
25,2,1.00E-05,0.9,25,50,0.48572052
25,3,1.00E-05,0.75,25,100,0.485275458
25,1,1.00E-05,0.75,65,100,0.485085129
50,1,1.00E-05,0.75,65,50,0.484881342
25,2,1.00E-05,0.5,25,100,0.484205578
25,2,1.00E-05,0.75,45,100,0.484144058
50,1,1.00E-05,0.75,25,100,0.483905666
10,3,0.0001,0.75,25,25,0.482645457
10,1,1.00E-05,0.75,65,100,0.481935088
50,3,1.00E-05,0.9,25,25,0.481897599
10,2,1.00E-05,0.5,25,25,0.481819737
10,2,1.00E-05,0.5,25,50,0.481615951
10,2,1.00E-05,0.9,45,100,0.481570772
25,2,0.0001,0.75,25,100,0.481337186
10,1,1.00E-05,0.75,45,50,0.480219244
10,3,1.00E-05,0.5,25,100,0.479583852
25,1,1.00E-05,0.9,65,25,0.479012865
25,2,1.00E-05,0.5,25,50,0.478431305
10,1,1.00E-05,0.9,45,100,0.477806487
50,3,1.00E-05,0.5,45,100,0.477323936
10,1,1.00E-05,0.75,25,50,0.477058629
10,1,1.00E-05,0.9,25,50,0.476576078
10,3,1.00E-05,0.5,45,50,0.475967602
25,3,1.00E-05,0.75,65,25,0.475243775
10,1,1.00E-05,0.75,25,100,0.475128424
25,1,1.00E-05,0.75,65,50,0.474482459
50,2,1.00E-05,0.5,45,25,0.474166205
25,2,1.00E-05,0.75,65,100,0.473605792
25,1,1.00E-05,0.5,45,100,0.473045379
25,1,1.00E-05,0.75,65,25,0.471689045
25,1,1.00E-05,0.5,25,100,0.469833818
10,3,1.00E-05,0.9,45,100,0.469324351
25,2,1.00E-05,0.9,25,100,0.468984066
25,3,1.00E-05,0.5,45,50,0.468895631
10,1,0.0001,0.5,25,50,0.468638014
10,3,1.00E-05,0.5,25,50,0.468120857
50,1,1.00E-05,0.5,65,50,0.465732132
25,1,1.00E-05,0.5,65,50,0.465364932
50,3,1.00E-05,0.9,45,100,0.46317711
25,3,1.00E-05,0.75,45,25,0.461338224
25,1,1.00E-05,0.9,25,100,0.460308717
25,3,1.00E-05,0.75,45,50,0.455748512
10,3,1.00E-05,0.9,45,25,0.455660076
50,2,1.00E-05,0.9,25,50,0.453603947
25,3,1.00E-05,0.75,45,100,0.447497078
50,2,1.00E-05,0.9,65,100,0.4451593
50,3,1.00E-05,0.9,65,50,0.413613713
